time,trial,leftCDRatio,rightCDRatio,bodyConfidence,centerEyeX,centerEyeY,centerEyeZ,trunkLeanDeg,event
186.9429,1,1.00,1.00,1.000,-0.06077,1.32541,0.09331,0.000,recording_started
186.9571,1,1.00,1.00,1.000,-0.06077,1.32541,0.09331,0.000,sample
187.3012,1,1.00,1.00,1.000,-0.07020,1.32471,0.08679,0.000,sample
187.8219,1,1.00,1.00,1.000,-0.08232,1.32638,0.08366,0.000,sample
188.3398,1,1.00,1.00,1.000,-0.07759,1.38369,0.07982,0.000,sample
188.8449,1,1.00,1.00,1.000,-0.04453,1.38676,0.08062,0.000,sample
189.3523,1,1.00,1.00,1.000,-0.03785,1.38272,0.09859,0.000,sample
189.8868,1,1.00,1.00,1.000,-0.03616,1.36167,0.07987,0.000,sample
190.3933,1,1.00,1.00,1.000,-0.02972,1.36736,0.08298,0.000,sample
190.9033,1,1.00,1.00,1.000,-0.02699,1.37321,0.09954,0.000,sample
191.4184,1,1.00,1.00,1.000,-0.03532,1.37347,0.10456,0.000,sample
191.6944,1,1.00,1.00,1.000,-0.03792,1.37224,0.10032,0.000,ratio_changed
191.9186,1,1.00,1.00,1.000,-0.03832,1.37134,0.10064,0.000,sample
192.4187,1,1.00,1.00,1.000,-0.03894,1.37384,0.11800,0.000,sample
192.4702,1,1.00,1.00,1.000,-0.03923,1.37352,0.11770,0.000,ratio_changed
192.9457,1,1.00,1.00,1.000,-0.04075,1.35012,0.11830,0.000,sample
193.4635,1,1.00,1.00,1.000,-0.08070,1.32781,0.11229,0.000,sample
193.9744,1,1.00,1.00,1.000,-0.08734,1.33729,0.09987,0.000,sample
194.4724,1,1.00,1.00,1.000,-0.07863,1.36830,0.09220,0.000,sample
194.9745,1,1.00,1.00,1.000,-0.07570,1.36391,0.10066,0.000,sample
195.0993,1,1.00,1.00,1.000,-0.07461,1.36329,0.10279,0.000,ratio_changed
195.4773,1,1.00,1.00,1.000,-0.07055,1.36445,0.11104,0.000,sample
195.9853,1,1.00,1.00,1.000,-0.04884,1.37421,0.13355,0.000,sample
196.4888,1,1.00,1.00,1.000,-0.02222,1.37473,0.15586,0.000,sample
196.9906,1,1.00,1.00,1.000,-0.00918,1.37984,0.14186,0.000,sample
197.2913,1,1.00,0.30,1.000,0.00061,1.38227,0.12178,0.000,ratio_changed
197.5042,1,1.00,0.30,1.000,0.00221,1.38319,0.12248,0.000,sample
198.0051,1,1.00,0.30,1.000,0.00622,1.38151,0.14758,0.000,sample
198.5067,1,1.00,0.30,1.000,0.01190,1.38242,0.14121,0.000,sample
198.8242,1,0.60,0.30,1.000,0.01097,1.38232,0.12588,0.000,ratio_changed
199.0067,1,0.60,0.30,1.000,0.01085,1.38156,0.12434,0.000,sample
199.2775,1,0.60,0.60,1.000,0.00661,1.38008,0.12353,0.000,ratio_changed
199.5244,1,0.60,0.60,1.000,0.00488,1.37647,0.12225,0.000,sample
200.0258,1,0.60,1.00,1.000,-0.00323,1.37271,0.11941,0.000,ratio_changed
200.0269,1,0.60,1.00,1.000,-0.00323,1.37271,0.11941,0.000,sample
200.5321,1,0.60,1.00,1.000,-0.01761,1.33785,0.11625,0.000,sample
201.0493,1,0.60,1.00,1.000,-0.06399,1.33153,0.12550,0.000,sample
201.5495,1,0.60,1.00,1.000,-0.06633,1.32869,0.12045,0.000,sample
202.0701,1,0.60,1.00,1.000,-0.05922,1.32695,0.11894,0.000,sample
202.3619,1,0.60,1.00,1.000,-0.05873,1.32542,0.11610,0.000,recording_stopped
202.4039,2,0.60,1.00,1.000,-0.05853,1.32518,0.11590,0.000,recording_started
