pcTimestamp,trial,leftCDRatio,rightCDRatio,bodyConfidence,centerEyeX,centerEyeY,centerEyeZ,trunkLeanDeg,event
2026-06-08 18:32:23.585,1,1.00,1.00,1.000,-0.16551,1.56091,0.09323,0.000,recording_started
2026-06-08 18:32:23.940,1,1.00,1.00,1.000,-0.16638,1.56144,0.08540,0.000,sample
2026-06-08 18:32:24.461,1,1.00,1.00,1.000,-0.15048,1.60897,0.06093,0.000,sample
2026-06-08 18:32:25.009,1,1.00,1.00,1.000,-0.14144,1.60463,0.05823,0.000,sample
2026-06-08 18:32:25.538,1,1.00,0.60,1.000,-0.14033,1.59932,0.05376,0.000,ratio_changed
2026-06-08 18:32:26.056,1,1.00,0.60,1.000,-0.13904,1.59724,0.05275,0.000,sample
2026-06-08 18:32:26.562,1,1.00,0.60,1.000,-0.13581,1.60643,0.10288,0.000,sample
2026-06-08 18:32:27.086,1,1.00,0.60,1.000,-0.14160,1.60463,0.11007,0.000,sample
2026-06-08 18:32:27.590,1,1.00,0.60,1.000,-0.15316,1.60104,0.11448,0.000,sample
2026-06-08 18:32:28.093,1,1.00,0.60,1.000,-0.15688,1.60016,0.11561,0.000,sample
2026-06-08 18:32:28.623,1,1.00,0.60,1.000,-0.15604,1.59955,0.11811,0.000,sample
2026-06-08 18:32:29.136,1,0.60,0.60,1.000,-0.13785,1.59985,0.13327,0.000,ratio_changed
2026-06-08 18:32:29.641,1,0.60,0.60,1.000,-0.12639,1.58516,0.15912,0.000,sample
2026-06-08 18:32:30.174,1,0.60,0.60,1.000,-0.13816,1.54967,0.22995,0.000,sample
2026-06-08 18:32:30.683,1,0.60,0.60,1.000,-0.21621,1.54566,0.10159,0.000,sample
2026-06-08 18:32:31.196,1,0.60,0.60,1.000,-0.19328,1.59322,0.00128,0.000,sample
2026-06-08 18:32:31.702,1,0.60,0.60,1.000,-0.11927,1.58412,0.01540,0.000,sample
2026-06-08 18:32:32.723,1,0.60,0.60,1.000,-0.07761,1.57814,0.19730,0.000,sample
2026-06-08 18:32:33.229,1,0.60,0.60,1.000,-0.11239,1.55492,0.35895,0.000,sample
2026-06-08 18:32:33.755,1,0.60,0.60,1.000,-0.14418,1.56945,0.51444,0.000,sample
2026-06-08 18:32:34.258,1,0.60,0.60,1.000,-0.09995,1.62742,0.68994,0.000,sample
2026-06-08 18:32:38.930,1,0.60,0.60,1.000,-0.02487,0.97701,2.62341,0.000,sample
2026-06-08 18:32:39.439,1,0.60,0.60,1.000,0.00979,0.78435,2.62980,0.000,sample
2026-06-08 18:32:39.967,1,0.60,0.60,1.000,0.01003,0.67606,2.67570,0.000,sample
2026-06-08 18:32:40.493,1,0.60,0.60,1.000,-0.00016,0.80125,2.63263,0.000,sample
2026-06-08 18:32:40.995,1,0.60,0.60,1.000,0.00006,0.76826,2.63675,0.000,sample
2026-06-08 18:32:41.526,1,0.60,0.60,1.000,0.07679,0.66240,2.72438,0.000,sample
2026-06-08 18:32:42.032,1,0.60,0.60,1.000,0.08314,0.67523,2.71810,0.000,sample
2026-06-08 18:32:42.561,1,0.60,0.60,1.000,0.08529,0.69516,2.69655,0.000,sample
2026-06-08 18:32:43.077,1,0.60,0.60,1.000,0.07912,0.63547,2.71801,0.000,sample
2026-06-08 18:32:43.577,1,0.60,0.60,1.000,0.09006,0.91507,2.69695,0.000,sample
2026-06-08 18:32:44.092,1,0.60,0.60,1.000,0.08621,1.29408,2.58214,0.000,sample
2026-06-08 18:32:44.599,1,0.60,0.60,1.000,0.07114,1.43899,2.43222,0.000,sample
2026-06-08 18:32:45.116,1,0.60,0.60,1.000,0.08789,1.54488,2.30083,0.000,sample
2026-06-08 18:32:48.693,1,0.60,0.60,1.000,0.10359,1.46538,1.51435,0.000,sample
2026-06-08 18:32:49.199,1,0.60,0.60,1.000,0.07608,1.45796,1.43333,0.000,sample
2026-06-08 18:32:49.710,1,0.60,0.60,1.000,0.05316,1.60499,1.33766,0.000,sample
2026-06-08 18:32:51.751,1,0.60,0.60,1.000,0.04258,1.46737,1.06970,0.000,sample
2026-06-08 18:32:52.259,1,0.60,0.60,1.000,0.06886,1.47802,1.03456,0.000,sample
2026-06-08 18:32:52.765,1,0.60,0.60,1.000,0.09923,1.48867,1.00441,0.000,sample
2026-06-08 18:32:53.268,1,0.60,0.60,1.000,0.08704,1.50666,0.98473,0.000,sample
2026-06-08 18:32:53.773,1,0.60,0.60,1.000,0.04078,1.57682,0.94175,0.000,sample
2026-06-08 18:32:54.275,1,0.60,0.60,1.000,0.04310,1.59692,0.93135,0.000,sample
2026-06-08 18:32:54.782,1,0.60,0.60,1.000,0.03498,1.64663,1.00304,0.000,sample
2026-06-08 18:32:55.292,1,0.60,0.60,1.000,0.00835,1.64453,1.08996,0.000,sample
2026-06-08 18:32:55.811,1,0.60,0.60,1.000,-0.12296,1.63439,1.14892,0.000,sample
2026-06-08 18:32:56.332,1,0.60,0.60,1.000,-0.15386,1.60333,1.07978,0.000,sample
2026-06-08 18:32:56.833,1,0.60,0.60,1.000,-0.07290,1.57447,0.84375,0.000,sample
2026-06-08 18:32:58.874,1,0.60,0.60,1.000,-0.32390,1.54014,0.47437,0.000,sample
2026-06-08 18:32:59.390,1,0.60,0.60,1.000,-0.30720,1.46890,0.42825,0.000,sample
2026-06-08 18:32:59.892,1,0.60,0.60,1.000,-0.30167,1.32320,0.38429,0.000,sample
2026-06-08 18:33:00.400,1,0.60,0.60,1.000,-0.30586,1.30351,0.38888,0.000,sample
2026-06-08 18:33:00.901,1,0.60,0.60,1.000,-0.27488,1.34652,0.27251,0.000,sample
2026-06-08 18:33:01.395,1,0.60,0.60,1.000,-0.22893,1.37205,0.17575,0.000,sample
2026-06-08 18:33:01.893,1,0.60,0.60,1.000,-0.15812,1.33974,0.20321,0.000,sample
2026-06-08 18:33:02.405,1,0.60,0.60,1.000,-0.16791,1.29185,0.28893,0.000,sample
2026-06-08 18:33:02.903,1,0.60,0.60,1.000,-0.24352,1.30974,0.27974,0.000,sample
2026-06-08 18:33:03.408,1,0.60,0.60,1.000,-0.30067,1.26360,0.21783,0.000,sample
2026-06-08 18:33:03.905,1,0.60,0.60,1.000,-0.32618,1.17361,0.13757,0.000,sample
2026-06-08 18:33:04.927,1,0.60,0.60,1.000,-0.16535,1.15490,0.51278,0.000,sample
2026-06-08 18:33:05.445,1,0.60,0.60,1.000,-0.11969,1.38360,0.39423,0.000,sample
2026-06-08 18:33:05.949,1,0.60,0.60,1.000,-0.08447,1.40704,0.21069,0.000,sample
2026-06-08 18:33:06.455,1,0.60,0.60,1.000,-0.12022,1.40374,0.17343,0.000,sample
2026-06-08 18:33:06.967,1,0.60,0.60,1.000,-0.23839,1.31238,0.31036,0.000,sample
2026-06-08 18:33:07.480,1,0.60,0.60,1.000,-0.18137,1.32484,0.51611,0.000,sample
2026-06-08 18:33:08.496,1,0.60,0.60,1.000,-0.14927,1.22834,0.35339,0.000,sample
2026-06-08 18:33:09.011,1,0.60,0.60,1.000,-0.09601,1.25133,0.19502,0.000,sample
2026-06-08 18:33:09.526,1,0.60,0.60,1.000,0.07147,1.24145,-0.01242,0.000,sample
2026-06-08 18:33:10.044,1,0.60,0.60,1.000,0.05077,1.25216,0.06229,0.000,sample
2026-06-08 18:33:10.571,1,0.60,0.60,1.000,-0.22359,1.30919,0.29366,0.000,sample
2026-06-08 18:33:11.073,1,0.60,0.60,1.000,-0.25922,1.34642,0.31420,0.000,sample
2026-06-08 18:33:11.579,1,0.60,0.60,1.000,-0.12601,1.38188,0.26071,0.000,sample
2026-06-08 18:33:12.094,1,0.60,0.60,1.000,-0.09022,1.39886,0.22566,0.000,sample
2026-06-08 18:33:12.606,1,0.60,0.60,1.000,-0.12100,1.38540,0.13410,0.000,sample
2026-06-08 18:33:13.110,1,0.60,0.60,1.000,-0.10184,1.37339,0.18531,0.000,sample
2026-06-08 18:33:13.622,1,0.60,2.00,1.000,-0.10712,1.37161,0.22218,0.000,ratio_changed
2026-06-08 18:33:14.654,1,0.60,2.00,1.000,-0.12231,1.37218,0.27012,0.000,sample
2026-06-08 18:33:15.159,1,2.00,2.00,1.000,-0.13127,1.36683,0.26435,0.000,ratio_changed
2026-06-08 18:33:15.679,1,2.00,2.00,1.000,-0.14807,1.35515,0.25595,0.000,sample
2026-06-08 18:33:16.197,1,2.00,2.00,1.000,-0.10399,1.32376,0.29562,0.000,sample
2026-06-08 18:33:16.717,1,2.00,2.00,1.000,-0.04263,1.43769,0.49512,0.000,sample
